Transaction Number,Transaction Date,Product ID,Product Category,Subcategories,Excursion Name,Excursion Type,Price pP,Units Sold,Days to Excursion,Excursion Date,Channel ID,Sales Channel,Sales Method,Client ID,Client Name,Gender,Generation,Marital Status,Email,Client Segment
1,2022-12-17,3,Adventure,Guided Tour,Both treat with,Personalized,188.41,2,17,2023-01-03,1,Partner Site,Transaction,1,Nicholas Lawson,Male,Gen Z,Divorced,gregory20@example.net,Solo Traveler
2,2022-09-21,3,Adventure,Bus Tour,Forward fly wall,Personalized,114.1,8,29,2022-10-20,3,Partner Site,Transaction,2,Ariana Conner DDS,Male,Millennial,Divorced,wardrenee@example.com,Business Traveler
3,2022-08-12,5,Gastronomy,Group Tour,Suddenly scientist now common,Whole Day,168.83,9,8,2022-08-20,2,Travel Agency,Transaction,3,Lawrence Gonzales,Male,Gen X,Divorced,umyers@example.org,Family
4,2022-05-28,3,Adventure,Self-Guided,Buy,Personalized,182.99,10,22,2022-06-19,1,Partner Site,Transaction,4,Ashley Ruiz,Female,Millennial,Single,harrisamy@example.net,Budget Traveler
5,2022-04-07,6,Family,VIP Experience,Really cut,Morning,43.8,2,19,2022-04-26,3,Partner Site,Transaction,5,Benjamin Mitchell,Female,Millennial,Divorced,harrisoneric@example.org,Family
6,2022-09-12,6,Family,Group Tour,Full find teacher,Evening,61.1,4,24,2022-10-06,1,Partner Site,Card,6,Shelly Garcia,Male,Gen Z,Widowed,priscilla68@example.com,Luxury Seeker
7,2022-03-11,4,Spa&Relax,VIP Experience,Break management long,Personalized,98.38,2,27,2022-04-07,4,Mobile App,Card,7,James Gardner,Male,Gen X,Widowed,michael35@example.com,Business Traveler
8,2022-09-01,2,Sport,Group Tour,Out until difference current,Personalized,157.53,6,21,2022-09-22,4,Website,Transaction,8,Bruce Pratt,Male,Gen Z,Divorced,cordovapriscilla@example.org,Budget Traveler
9,2022-05-01,6,Family,Guided Tour,Effort project,Morning,56.77,7,27,2022-05-28,2,Mobile App,Card,9,James Clayton,Female,Boomer,Married,choisandra@example.com,Budget Traveler
10,2022-03-11,2,Sport,Self-Guided,Free or,Half Day,63.07,8,28,2022-04-08,1,Mobile App,Card,10,Deanna Hines,Female,Boomer,Divorced,jonesstacey@example.com,Business Traveler
