Transaction Number,Transaction Date,Product ID,Product Category,Subcategories,Excursion Name,Excursion Type,Price pP,Units Sold,Days to Excursion,Excursion Date,Channel ID,Sales Channel,Sales Method,Client ID,Client Name,Gender,Generation,Marital Status,Email,Client Segment
1,2020-09-05,6,Family,Self-Guided,Agent every,Half Day,60.18,2,1,2020-09-06,1,Website,Transaction,1,Noah Rhodes,Male,Boomer,Single,garzaanthony@example.org,Budget Traveler
2,2020-03-25,2,Sport,VIP Experience,Measure ago,Personalized,24.78,2,7,2020-04-01,2,Mobile App,Transaction,2,Matthew Gardner,Female,Millennial,Widowed,shaneramirez@example.org,Business Traveler
3,2020-10-21,1,Culture,Guided Tour,Recently future,Evening,81.25,5,26,2020-11-16,2,Mobile App,Card,3,Tyler Rogers,Female,Gen Z,Single,jamesmichael@example.com,Solo Traveler
4,2020-08-22,3,Adventure,VIP Experience,Southern role,Morning,165.28,2,12,2020-09-03,4,Travel Agency,Transaction,4,Valerie Gray,Male,Boomer,Single,maria95@example.net,Business Traveler
5,2020-03-15,6,Family,VIP Experience,Animal direction,Morning,123.92,5,27,2020-04-11,1,Website,Card,5,Bobby Hall,Male,Gen X,Single,jamesshawn@example.com,Luxury Seeker
6,2020-03-04,3,Adventure,Group Tour,Great prove reduce,Morning,49.28,2,13,2020-03-17,3,Partner Site,Card,6,Andrea Reid,Female,Gen Z,Married,frankgray@example.net,Business Traveler
7,2020-09-24,4,Spa&Relax,Group Tour,Detail food shoulder,Morning,198.11,4,6,2020-09-30,2,Mobile App,Transaction,7,Rodney Trujillo,Female,Gen Z,Married,nadams@example.net,Budget Traveler
8,2020-12-06,3,Adventure,Walking Tour,Defense material those,Half Day,184.36,6,13,2020-12-19,3,Partner Site,Card,8,Brenda Taylor,Female,Boomer,Widowed,julie69@example.com,Luxury Seeker
9,2020-05-20,2,Sport,Bus Tour,Young catch,Personalized,117.02,5,5,2020-05-25,4,Travel Agency,Transaction,9,Peter Callahan Jr.,Female,Gen X,Married,laurahenderson@example.org,Luxury Seeker
10,2020-05-29,1,Culture,Walking Tour,Other life edge,Whole Day,47.51,9,16,2020-06-14,2,Mobile App,Transaction,10,Terri Frazier,Female,Gen Z,Widowed,maldonadoamanda@example.com,Solo Traveler
11,2020-10-25,5,Gastronomy,Self-Guided,Born itself law,Personalized,174.94,10,15,2020-11-09,1,Website,Transaction,11,Sherri Baker,Male,Gen X,Divorced,williamrodriguez@example.net,Budget Traveler
12,2020-04-25,2,Sport,Group Tour,Participant check several,Whole Day,191.69,5,14,2020-05-09,3,Partner Site,Transaction,12,Paula Moreno,Male,Gen Z,Divorced,georgetracy@example.org,Business Traveler
13,2020-12-26,2,Sport,Self-Guided,These story film,Half Day,117.09,10,7,2021-01-02,1,Website,Transaction,13,Shawn Arroyo,Female,Boomer,Single,dennislisa@example.net,Budget Traveler
14,2020-10-24,3,Adventure,Guided Tour,Campaign little,Whole Day,63.36,6,29,2020-11-22,1,Website,Card,14,Deborah Brennan,Female,Gen Z,Married,ibrandt@example.net,Luxury Seeker
15,2020-09-24,2,Sport,Self-Guided,Require human,Personalized,177.04,8,18,2020-10-12,4,Travel Agency,Card,15,Jacqueline Lam,Male,Gen X,Widowed,omartinez@example.org,Family
16,2020-05-11,5,Gastronomy,Group Tour,Per,Whole Day,64.62,8,29,2020-06-09,1,Website,PayPal,16,Leah Smith,Male,Millennial,Married,perezrebecca@example.com,Budget Traveler
17,2020-01-28,6,Family,Walking Tour,Draw protect Democrat,Half Day,32.13,2,23,2020-02-20,1,Website,PayPal,17,Timothy Duncan,Male,Millennial,Divorced,esanchez@example.com,Solo Traveler
18,2020-03-14,2,Sport,Bus Tour,Best issue,Personalized,123.72,4,18,2020-04-01,2,Mobile App,PayPal,18,John Daniel,Female,Millennial,Single,brownjessica@example.org,Budget Traveler
