Transaction Number,Transaction Date,Product ID,Product Category,Subcategories,Excursion Name,Excursion Type,Price pP,Units Sold,Days to Excursion,Excursion Date,Channel ID,Sales Channel,Sales Method,Client ID,Client Name,Gender,Generation,Marital Status,Email,Client Segment
1,2024-08-09,6,Family,Group Tour,Moment participant our,Whole Day,145.05,5,18,2024-08-27,2,Website,PayPal,1,Alexander Smith,Male,Boomer,Widowed,jonathon00@example.com,Solo Traveler
2,2024-08-24,5,Gastronomy,VIP Experience,Know authority those,Whole Day,107.93,10,29,2024-09-22,2,Mobile App,Card,2,Michael Noble,Male,Boomer,Divorced,gonzaleskaren@example.com,Business Traveler
3,2024-02-25,1,Culture,Walking Tour,Activity,Half Day,70.05,9,1,2024-02-26,4,Website,PayPal,3,Richard Chambers,Female,Boomer,Married,rebeccacook@example.com,Business Traveler
4,2024-10-07,6,Family,Bus Tour,Any traditional language,Whole Day,34.58,6,22,2024-10-29,1,Travel Agency,PayPal,4,Gerald Coleman,Female,Millennial,Single,martindiane@example.org,Solo Traveler
5,2024-11-21,2,Sport,Walking Tour,Little within,Whole Day,132.39,5,17,2024-12-08,1,Mobile App,Transaction,5,Kimberly Reynolds,Male,Millennial,Widowed,pmartin@example.org,Budget Traveler
6,2024-10-26,3,Adventure,Self-Guided,South speak maybe,Personalized,168.77,8,1,2024-10-27,2,Website,Card,6,Nancy Williams,Male,Boomer,Married,michael48@example.com,Family
7,2024-04-15,1,Culture,Group Tour,Up cultural analysis,Half Day,39.55,5,15,2024-04-30,3,Mobile App,PayPal,7,Jacqueline Lopez,Male,Gen X,Married,michael03@example.net,Family
8,2024-07-24,5,Gastronomy,Group Tour,Small each,Evening,79.85,6,14,2024-08-07,2,Website,PayPal,8,James Weber,Male,Boomer,Divorced,elliszachary@example.net,Family
9,2024-07-25,5,Gastronomy,Guided Tour,Former pass gun,Half Day,80.45,7,20,2024-08-14,1,Travel Agency,PayPal,9,Rebecca Gregory,Male,Boomer,Widowed,kristi12@example.org,Budget Traveler
10,2024-12-06,1,Culture,Self-Guided,Pass your drive,Whole Day,189.93,5,7,2024-12-13,3,Website,Transaction,10,Christian Smith,Male,Millennial,Single,denisejackson@example.com,Solo Traveler
11,2024-10-16,5,Gastronomy,Self-Guided,Someone,Evening,102.11,8,13,2024-10-29,2,Travel Agency,PayPal,11,Terry Sanders,Female,Gen Z,Married,ejohnson@example.net,Business Traveler
12,2024-04-20,3,Adventure,Guided Tour,Letter south,Half Day,161.73,9,6,2024-04-26,4,Partner Site,Transaction,12,Joe Mcpherson,Male,Gen X,Divorced,cindyjackson@example.net,Family
13,2024-04-26,6,Family,Walking Tour,Wish nothing lot,Half Day,97.55,4,18,2024-05-14,3,Mobile App,PayPal,13,Mr. Nathaniel Gibbs MD,Male,Gen Z,Single,colontammy@example.net,Family
14,2024-09-05,1,Culture,VIP Experience,Detail another anyone,Whole Day,90.96,10,25,2024-09-30,2,Travel Agency,Transaction,14,Jason Fowler,Female,Gen X,Widowed,lindseygomez@example.net,Business Traveler
15,2024-08-25,5,Gastronomy,Bus Tour,Provide practice,Whole Day,191.03,3,16,2024-09-10,2,Mobile App,Card,15,Crystal Mason,Female,Gen X,Married,sharpdavid@example.com,Budget Traveler
16,2024-06-19,3,Adventure,Group Tour,Finally so value,Half Day,156.61,1,19,2024-07-08,1,Travel Agency,PayPal,16,Allison Roberts,Male,Gen X,Divorced,tyler04@example.com,Business Traveler
17,2024-03-06,1,Culture,VIP Experience,Case interest,Evening,127.72,5,15,2024-03-21,1,Website,Transaction,17,Robin Carter,Female,Boomer,Divorced,brodriguez@example.org,Solo Traveler
18,2024-10-27,1,Culture,Walking Tour,Fish grow say,Personalized,25.98,7,6,2024-11-02,4,Partner Site,PayPal,18,Deborah Yates,Female,Gen Z,Divorced,hannah37@example.com,Family
19,2024-04-10,5,Gastronomy,Self-Guided,Away it executive,Evening,101.88,4,16,2024-04-26,1,Website,PayPal,19,Dana Bauer,Male,Gen X,Single,alvinallison@example.net,Business Traveler
20,2024-10-12,4,Spa&Relax,Self-Guided,Security particular election,Morning,51.46,8,26,2024-11-07,2,Partner Site,Transaction,20,Cindy Higgins,Male,Boomer,Widowed,mcdowelljoseph@example.net,Business Traveler
21,2024-02-26,1,Culture,Walking Tour,Somebody though compare two,Morning,99.77,9,30,2024-03-27,2,Website,Card,21,Ronald Rodriguez,Female,Gen X,Married,millererin@example.net,Family
22,2024-05-04,4,Spa&Relax,VIP Experience,Marriage tell study,Morning,88.07,2,30,2024-06-03,1,Mobile App,Transaction,22,Samantha Torres,Female,Gen Z,Widowed,longjeffrey@example.com,Family
23,2024-10-03,4,Spa&Relax,Self-Guided,Lay peace none,Evening,48.74,8,17,2024-10-20,2,Mobile App,PayPal,23,Robert Garcia,Female,Millennial,Divorced,tara19@example.com,Luxury Seeker
24,2024-03-05,2,Sport,Group Tour,Minute well such,Whole Day,174.74,7,7,2024-03-12,4,Website,Card,24,Melissa Trujillo,Male,Gen Z,Married,thomasmartinez@example.com,Budget Traveler
25,2024-06-13,6,Family,Walking Tour,Woman fire own,Morning,31.87,4,4,2024-06-17,1,Mobile App,Card,25,Jeffrey Fry,Female,Millennial,Married,justin23@example.com,Family
26,2024-08-11,1,Culture,Self-Guided,Product,Personalized,43.59,10,11,2024-08-22,2,Travel Agency,PayPal,26,Robert Chambers,Female,Boomer,Single,ppeterson@example.net,Budget Traveler
27,2024-10-10,6,Family,Walking Tour,Writer difficult rather,Whole Day,98.3,7,28,2024-11-07,1,Partner Site,Card,27,Timothy Ramirez,Female,Gen Z,Married,summer29@example.com,Luxury Seeker
28,2024-11-27,3,Adventure,Bus Tour,Agency answer soldier,Personalized,65.86,6,12,2024-12-09,1,Travel Agency,Card,28,Joe May,Female,Gen X,Single,cindyhendrix@example.org,Luxury Seeker
29,2024-02-13,3,Adventure,Guided Tour,Difference and one difficult,Morning,61.79,9,17,2024-03-01,3,Partner Site,Transaction,29,Nicole Martinez,Male,Boomer,Married,kristinclark@example.com,Business Traveler
30,2024-05-07,3,Adventure,Walking Tour,Again million,Evening,29.54,9,16,2024-05-23,4,Partner Site,Card,30,Raymond Wright,Male,Gen Z,Single,jessewashington@example.org,Solo Traveler
31,2024-05-11,4,Spa&Relax,Self-Guided,Action interview,Morning,126.31,8,4,2024-05-15,2,Website,PayPal,31,Tina White,Female,Gen X,Divorced,barbara89@example.org,Luxury Seeker
32,2024-03-30,4,Spa&Relax,Walking Tour,Call two trial,Evening,121.11,5,30,2024-04-29,1,Website,Card,32,Jeffrey Moore,Female,Millennial,Divorced,bpacheco@example.com,Solo Traveler
33,2024-03-29,1,Culture,Group Tour,Market million old,Half Day,35.24,3,2,2024-03-31,2,Partner Site,Card,33,Bryan Gallagher,Female,Millennial,Single,anna75@example.org,Luxury Seeker
34,2024-07-25,1,Culture,Walking Tour,Thought treat do reflect,Morning,165.55,2,5,2024-07-30,4,Mobile App,PayPal,34,Stephanie Stanley,Male,Gen X,Married,howardelizabeth@example.net,Solo Traveler
35,2024-08-12,2,Sport,Walking Tour,Early poor,Evening,70.21,8,29,2024-09-10,3,Travel Agency,PayPal,35,Holly Gordon,Male,Boomer,Widowed,ymiller@example.com,Luxury Seeker
36,2024-03-25,5,Gastronomy,VIP Experience,Good big,Personalized,71.34,7,7,2024-04-01,2,Travel Agency,Card,36,Alexandra Yoder,Female,Gen X,Married,bill74@example.com,Business Traveler
37,2024-05-30,3,Adventure,Group Tour,Organization cause,Evening,114.92,5,28,2024-06-27,4,Mobile App,PayPal,37,Krystal May,Female,Gen X,Married,gilbertdaniel@example.org,Luxury Seeker
38,2024-10-14,3,Adventure,Group Tour,Car despite discuss,Personalized,135.45,9,17,2024-10-31,4,Mobile App,PayPal,38,Lisa Townsend,Male,Millennial,Single,jeffreyromero@example.com,Solo Traveler
39,2024-03-25,1,Culture,Bus Tour,Rule institution traditional character,Evening,180.88,3,22,2024-04-16,1,Travel Agency,Card,39,Catherine Mccarthy,Male,Millennial,Divorced,millerwilliam@example.net,Solo Traveler
