Transaction Number,Transaction Date,Product ID,Product Category,Subcategories,Excursion Name,Excursion Type,Price pP,Units Sold,Days to Excursion,Excursion Date,Channel ID,Sales Channel,Sales Method,Client ID,Client Name,Gender,Generation,Marital Status,Email,Client Segment
1,2023-11-07,3,Adventure,Bus Tour,Read in myself,Half Day,198.78,4,27,2023-12-04,2,Website,Transaction,1,Donna Mathews,Male,Gen Z,Single,kim95@example.com,Family
2,2023-07-13,3,Adventure,Walking Tour,Hit enter,Half Day,197.9,5,19,2023-08-01,1,Website,PayPal,2,Thomas Wang,Female,Millennial,Divorced,wallison@example.org,Solo Traveler
3,2023-12-14,2,Sport,Walking Tour,Stuff test southern prove,Personalized,104.51,4,3,2023-12-17,2,Website,PayPal,3,Eric Palmer,Female,Gen Z,Widowed,davidjackson@example.com,Family
4,2023-11-06,3,Adventure,Group Tour,Least pressure,Whole Day,194.99,8,15,2023-11-21,2,Mobile App,Card,4,Michael Williams,Female,Gen Z,Divorced,jeffreymason@example.org,Family
5,2023-07-21,3,Adventure,Walking Tour,Per best truth movement,Whole Day,181.02,1,17,2023-08-07,2,Mobile App,Card,5,Jeffrey Mooney,Male,Gen X,Married,frederickcampbell@example.com,Solo Traveler
6,2023-12-18,6,Family,VIP Experience,Third,Whole Day,131.73,2,18,2024-01-05,3,Partner Site,Card,6,Ashley Pace,Male,Gen X,Single,loricastro@example.com,Business Traveler
7,2023-09-20,5,Gastronomy,Walking Tour,Watch across few,Evening,42.06,7,29,2023-10-19,4,Partner Site,Card,7,Charles Nguyen,Female,Millennial,Divorced,qroth@example.net,Business Traveler
8,2023-10-04,4,Spa&Relax,Guided Tour,Manager stay,Morning,104.51,4,6,2023-10-10,1,Website,Card,8,Joseph Ramsey,Female,Gen X,Single,andrewjones@example.com,Luxury Seeker
9,2023-04-25,6,Family,Bus Tour,Detail less,Morning,129.98,3,30,2023-05-25,1,Partner Site,PayPal,9,Eric King,Female,Millennial,Widowed,wendysilva@example.com,Luxury Seeker
10,2023-08-06,4,Spa&Relax,Walking Tour,Source determine ask,Evening,36.4,10,22,2023-08-28,2,Website,Transaction,10,Kayla Rogers,Female,Gen Z,Widowed,dawnholland@example.net,Solo Traveler
11,2023-03-26,1,Culture,Group Tour,Natural employee short,Morning,35.56,4,10,2023-04-05,2,Travel Agency,PayPal,11,Kellie Cervantes,Female,Millennial,Widowed,stacey53@example.com,Family
12,2023-04-26,3,Adventure,Walking Tour,Describe fast fast,Whole Day,62.01,2,7,2023-05-03,1,Travel Agency,Card,12,Robert Andersen,Female,Gen X,Single,tdavis@example.net,Family
13,2023-01-01,6,Family,Group Tour,Might scientist,Half Day,117.03,8,8,2023-01-09,2,Travel Agency,Card,13,Robert Sanford,Female,Gen Z,Divorced,dakotamartin@example.net,Family
14,2023-11-10,2,Sport,Bus Tour,Paper son account,Whole Day,24.96,2,16,2023-11-26,3,Mobile App,Transaction,14,Jacob Wall,Male,Gen Z,Single,jacqueline57@example.com,Solo Traveler
15,2023-07-30,4,Spa&Relax,Walking Tour,During environmental data,Evening,167.4,8,27,2023-08-26,1,Partner Site,Card,15,John Arnold,Male,Boomer,Single,moorejacob@example.com,Budget Traveler
16,2023-11-10,5,Gastronomy,Bus Tour,Task popular front hospital,Whole Day,45.79,1,12,2023-11-22,2,Partner Site,Card,16,James Le,Male,Gen X,Single,jshort@example.com,Family
17,2023-08-11,5,Gastronomy,Walking Tour,Continue try wide,Personalized,70.07,7,17,2023-08-28,4,Travel Agency,PayPal,17,Mr. Craig Gonzalez,Male,Boomer,Married,lewisemily@example.com,Solo Traveler
18,2023-06-01,5,Gastronomy,VIP Experience,Man view,Morning,165.41,3,24,2023-06-25,3,Mobile App,PayPal,18,Brett Phillips,Female,Boomer,Married,joshuakim@example.com,Budget Traveler
19,2023-09-01,1,Culture,Group Tour,Also require,Morning,70.09,7,26,2023-09-27,2,Partner Site,PayPal,19,Jason Sullivan,Male,Gen X,Divorced,nicholas87@example.org,Budget Traveler
20,2023-11-01,1,Culture,Walking Tour,Physical left message,Half Day,51.81,4,9,2023-11-10,3,Mobile App,Transaction,20,Andrew Brooks,Male,Millennial,Divorced,ericmartinez@example.com,Family
21,2023-09-11,6,Family,Walking Tour,Plant enjoy,Personalized,100.57,9,22,2023-10-03,4,Mobile App,Transaction,21,Amy Hanson,Female,Gen Z,Married,greengabriel@example.org,Family
22,2023-07-28,5,Gastronomy,Walking Tour,Happen agreement goal,Morning,84.72,6,25,2023-08-22,3,Partner Site,Transaction,22,Eduardo Jones,Female,Boomer,Single,xochoa@example.org,Budget Traveler
23,2023-04-17,3,Adventure,VIP Experience,I create generation,Evening,122.43,6,9,2023-04-26,2,Mobile App,PayPal,23,Raymond Stevens,Female,Gen X,Married,zroberts@example.net,Luxury Seeker
24,2023-11-19,1,Culture,VIP Experience,Without,Personalized,143.85,7,19,2023-12-08,4,Website,Card,24,Luis Porter,Male,Gen X,Single,tammy91@example.org,Solo Traveler
25,2023-03-26,3,Adventure,Self-Guided,Ok idea important,Morning,86.68,5,1,2023-03-27,4,Partner Site,PayPal,25,Curtis Lopez,Female,Boomer,Widowed,alexanderrichard@example.org,Business Traveler
26,2023-03-24,5,Gastronomy,Self-Guided,Knowledge manage someone,Personalized,178.43,5,15,2023-04-08,2,Website,Transaction,26,Lynn Moreno,Female,Millennial,Divorced,ktaylor@example.net,Business Traveler
27,2023-04-12,1,Culture,Self-Guided,Rule once wear,Half Day,71.91,4,23,2023-05-05,3,Website,Card,27,Catherine Walters,Male,Gen Z,Widowed,alexandrathompson@example.com,Family
